삭제 대상 42개 / 606.3 GB

     26.0 GB  kmseong/llama2_13b-chat-CB_SSFT-seal-warp_gsm8k_topp0.8_rho0.1_lr5e-5
     18.5 GB  kmseong/gemma2_9b-it-CB_SSFT-seal_gsm8k_topp0.8_lr1e-5
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-seal_gsm8k_topp0.8_lr1e-5
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-wsr-lora_gsm8k_rho0.3_a16_lr3e-4
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-salora_gsm8k_rs32rt32_a16_lr3e-4
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-lisa_gsm8k_rho1.0_a16_lr3e-4
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-resta_gsm8k_gamma0.3_lr1e-5
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-asft_gsm8k_lambda1.0_a16_lr3e-4
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-lora_gsm8k_a16_lr3e-4
     16.1 GB  kmseong/llama3_1_8b-base-CB_SSFT-safelora_gsm8k_thr0.3_a16_lr3e-4
     15.2 GB  kmseong/qwen2_5_7b-instruct-CB_SSFT-lisa_gsm8k_rho1.0_fullft_lr5e-5_tgtonly
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-seal_medqa_topp0.8_lr5e-5
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-seal_gsm8k_topp0.8_lr3e-5
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-seal_arc_topp0.8_lr5e-5
     13.5 GB  kmseong/llama2_7b-chat-arc_ssft_lr5e-5
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-wsr-lora_arc_rho0.3_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-wsr-lora_medqa_rho0.3_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-wsr-lora_gsm8k_rho0.3_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-wsr-lora_gsm8k_rho0.1_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-salora_arc_rs32rt32_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-salora_medqa_rs32rt32_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-lisa_arc_rho1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-chat-CB_SSFT-lisa_medqa_rho1.0_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-salora_gsm8k_rs32rt32_a16_lr3e-4
     13.5 GB  kmseong/llama2_7b-base-CB_SSFT-lisa_gsm8k_rho0.0_a16_lr3e-4
