════════════════════════════════════════════════════════════════
 Revision 실험 계획
   repo      : /home/edgeai_lab/Safety-WaRP-LLM
   python    : /home/edgeai_lab/miniconda3/envs/hb/bin/python
   safety    : cb
   models    : llama2_13b
   methods   : seal wsr_lora
   tasks     : <모델별 자동>
   eff.batch : 16   epochs: 3   max_len: 1024   seed: 42
   full-param: lr=5e-5 wd=0.01 warmup=0.1
   lora      : r=16 a=32 drop=0.05 wd=0.0 warmup=0.03
               lr=3e-4 (gsm8k/math/medqa/arc) · 7e-5 (agnews)
   out       : /home/edgeai_lab/Safety-WaRP-LLM/outputs/revision
   hf        : kmseong  (업로드 후 로컬 삭제=1, basis 삭제=1)
════════════════════════════════════════════════════════════════

  SEAL top-p     : 0.8 (top80)
  selector epochs: 2
  S2 (full-param): lr=5e-5 wd=0.01 warmup=0.1 epochs=3
  selector ckpt  : /home/edgeai_lab/Safety-WaRP-LLM/seal/ckpt/revision

──────────────────────────────────────────────────────────────
  seal-S1 selector  cb/llama2_13b/gsm8k  batch=2   (08-31 23:47:20)
──────────────────────────────────────────────────────────────
`torch_dtype` is deprecated! Use `dtype` instead!
[selector] loading model: wvnvwn/llama-2-13b-chat-hf-SSFT-lr5e-5
Loading checkpoint shards:   0%|          | 0/6 [00:00<?, ?it/s]Loading checkpoint shards:  17%|█▋        | 1/6 [00:00<00:01,  3.00it/s]Loading checkpoint shards:  33%|███▎      | 2/6 [00:00<00:01,  3.29it/s]Loading checkpoint shards:  50%|█████     | 3/6 [00:00<00:00,  3.39it/s]Loading checkpoint shards:  67%|██████▋   | 4/6 [00:01<00:00,  3.24it/s]Loading checkpoint shards:  83%|████████▎ | 5/6 [00:01<00:00,  3.17it/s]Loading checkpoint shards: 100%|██████████| 6/6 [00:01<00:00,  3.64it/s]
trainable params: 43,909,120 || all params: 13,059,773,440 || trainable%: 0.3362
[selector] building datasets ...
Map:   0%|          | 0/7473 [00:00<?, ? examples/s]Map: 100%|██████████| 7473/7473 [00:00<00:00, 98715.77 examples/s]
[selector] safe=4994  downstream=7473

[selector] epoch 0  ul_weight=0.900
  step 10/7474  safe=0.2155  ft=1.5149  model_loss_ema=0.2237  sel_loss=1.5152
  step 20/7474  safe=0.0734  ft=1.2588  model_loss_ema=0.2124  sel_loss=1.2596
  step 30/7474  safe=0.0405  ft=1.3475  model_loss_ema=0.2013  sel_loss=1.3492
  step 40/7474  safe=0.0391  ft=2.0333  model_loss_ema=0.1937  sel_loss=2.0376
  step 50/7474  safe=0.0210  ft=1.6148  model_loss_ema=0.2066  sel_loss=1.6199
  step 60/7474  safe=0.0225  ft=1.7415  model_loss_ema=0.1986  sel_loss=1.7491
  step 70/7474  safe=0.0028  ft=1.1871  model_loss_ema=0.1944  sel_loss=1.1939
  step 80/7474  safe=0.1558  ft=1.4115  model_loss_ema=0.2069  sel_loss=1.4216
  step 90/7474  safe=0.1281  ft=1.5100  model_loss_ema=0.2015  sel_loss=1.5232
  step 100/7474  safe=0.0142  ft=1.3970  model_loss_ema=0.1918  sel_loss=1.4116
  step 110/7474  safe=0.0203  ft=1.0196  model_loss_ema=0.1753  sel_loss=1.0320
  step 120/7474  safe=0.1290  ft=1.0333  model_loss_ema=0.1749  sel_loss=1.0478
  step 130/7474  safe=0.0721  ft=1.5410  model_loss_ema=0.1808  sel_loss=1.5658
  step 140/7474  safe=0.0385  ft=0.9962  model_loss_ema=0.1779  sel_loss=1.0142
  step 150/7474  safe=0.0209  ft=1.1056  model_loss_ema=0.1684  sel_loss=1.1280
  step 160/7474  safe=0.0224  ft=1.3893  model_loss_ema=0.1754  sel_loss=1.4205
  step 170/7474  safe=0.0393  ft=1.5411  model_loss_ema=0.1817  sel_loss=1.5792
  step 180/7474  safe=0.0989  ft=1.0474  model_loss_ema=0.1838  sel_loss=1.0757
  step 190/7474  safe=0.0463  ft=0.7679  model_loss_ema=0.1848  sel_loss=0.7905
  step 200/7474  safe=0.0831  ft=1.2292  model_loss_ema=0.1808  sel_loss=1.2683
  step 210/7474  safe=0.1207  ft=0.8646  model_loss_ema=0.1724  sel_loss=0.8942
  step 220/7474  safe=0.0327  ft=0.6815  model_loss_ema=0.1451  sel_loss=0.7065
  step 230/7474  safe=0.0252  ft=0.6921  model_loss_ema=0.1381  sel_loss=0.7191
  step 240/7474  safe=0.0208  ft=0.6916  model_loss_ema=0.1347  sel_loss=0.7203
  step 250/7474  safe=0.1021  ft=0.4872  model_loss_ema=0.1289  sel_loss=0.5086
  step 260/7474  safe=0.0649  ft=1.1198  model_loss_ema=0.1238  sel_loss=1.1719
  step 270/7474  safe=0.0156  ft=0.5719  model_loss_ema=0.1198  sel_loss=0.6000
  step 280/7474  safe=0.0802  ft=0.4386  model_loss_ema=0.1222  sel_loss=0.4614
  step 290/7474  safe=0.0377  ft=0.4089  model_loss_ema=0.1119  sel_loss=0.4312
  step 300/7474  safe=0.0855  ft=0.5719  model_loss_ema=0.1116  sel_loss=0.6047
  step 310/7474  safe=0.0979  ft=0.4131  model_loss_ema=0.1162  sel_loss=0.4380
  step 320/7474  safe=0.0059  ft=0.6199  model_loss_ema=0.1052  sel_loss=0.6590
  step 330/7474  safe=0.0551  ft=0.6925  model_loss_ema=0.1104  sel_loss=0.7382
  step 340/7474  safe=0.4219  ft=0.3335  model_loss_ema=0.1250  sel_loss=0.3565
