════════════════════════════════════════════════════════════════
 Revision 실험 계획
   repo      : /home/edgeai_lab/Safety-WaRP-LLM
   python    : /home/edgeai_lab/miniconda3/envs/hb/bin/python
   safety    : cb
   models    : gemma2_9b
   methods   : seal
   tasks     : <모델별 자동>
   eff.batch : 16   epochs: 3   max_len: 1024   seed: 42
   full-param: lr=5e-5 wd=0.01 warmup=0.1
   lora      : r=16 a=32 drop=0.05 wd=0.0 warmup=0.03
               lr=3e-4 (gsm8k/math/medqa/arc) · 7e-5 (agnews)
   out       : /home/edgeai_lab/Safety-WaRP-LLM/outputs/revision
   hf        : kmseong  (업로드 후 로컬 삭제=1, basis 삭제=1)
════════════════════════════════════════════════════════════════

  SEAL top-p     : 0.8 (top80)
  selector epochs: 2
  S2 (full-param): lr=5e-5 wd=0.01 warmup=0.1 epochs=3
  selector ckpt  : /home/edgeai_lab/Safety-WaRP-LLM/seal/ckpt/revision

──────────────────────────────────────────────────────────────
  seal-S1 selector  cb/gemma2_9b/gsm8k  batch=2   (09-01 18:24:31)
──────────────────────────────────────────────────────────────
`torch_dtype` is deprecated! Use `dtype` instead!
[selector] loading model: wvnvwn/gemma-2-9b-it-ssft-lr3e-5
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:  25%|██▌       | 1/4 [00:11<00:35, 11.91s/it]Fetching 4 files:  50%|█████     | 2/4 [00:12<00:10,  5.20s/it]Fetching 4 files: 100%|██████████| 4/4 [00:12<00:00,  3.10s/it]
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:00,  3.53it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:00<00:00,  3.46it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:00<00:00,  3.41it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:01<00:00,  3.58it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:01<00:00,  3.53it/s]
trainable params: 36,814,848 || all params: 9,278,520,832 || trainable%: 0.3968
[selector] building datasets ...
Map:   0%|          | 0/7473 [00:00<?, ? examples/s]Map:  94%|█████████▎| 7000/7473 [00:00<00:00, 21246.31 examples/s]Map: 100%|██████████| 7473/7473 [00:00<00:00, 22183.74 examples/s]
[selector] safe=4994  downstream=7473

[selector] epoch 0  ul_weight=0.900
  step 10/7474  safe=0.2250  ft=1.8984  model_loss_ema=0.2014  sel_loss=1.8987
  step 20/7474  safe=0.0173  ft=1.6006  model_loss_ema=0.2226  sel_loss=1.6015
  step 30/7474  safe=0.3732  ft=1.3565  model_loss_ema=0.2279  sel_loss=1.3582
  step 40/7474  safe=0.0591  ft=1.0627  model_loss_ema=0.2208  sel_loss=1.0650
  step 50/7474  safe=0.0584  ft=1.0458  model_loss_ema=0.2085  sel_loss=1.0490
  step 60/7474  safe=0.0480  ft=1.3864  model_loss_ema=0.2173  sel_loss=1.3924
  step 70/7474  safe=0.0273  ft=1.4126  model_loss_ema=0.2218  sel_loss=1.4205
  step 80/7474  safe=0.0288  ft=1.3509  model_loss_ema=0.2106  sel_loss=1.3606
  step 90/7474  safe=0.0966  ft=1.6282  model_loss_ema=0.2095  sel_loss=1.6425
  step 100/7474  safe=0.0148  ft=0.8295  model_loss_ema=0.1963  sel_loss=0.8381
  step 110/7474  safe=0.0547  ft=0.9319  model_loss_ema=0.1998  sel_loss=0.9433
  step 120/7474  safe=0.0405  ft=1.0979  model_loss_ema=0.1916  sel_loss=1.1133
  step 130/7474  safe=0.0445  ft=0.9288  model_loss_ema=0.1716  sel_loss=0.9437
  step 140/7474  safe=0.0472  ft=1.2912  model_loss_ema=0.1721  sel_loss=1.3144
  step 150/7474  safe=0.0581  ft=1.5030  model_loss_ema=0.1829  sel_loss=1.5331
  step 160/7474  safe=0.0640  ft=0.9752  model_loss_ema=0.1738  sel_loss=0.9969
  step 170/7474  safe=0.0502  ft=0.3932  model_loss_ema=0.1597  sel_loss=0.4028
  step 180/7474  safe=0.1327  ft=1.0705  model_loss_ema=0.1619  sel_loss=1.0990
  step 190/7474  safe=0.0138  ft=0.5263  model_loss_ema=0.1551  sel_loss=0.5415
  step 200/7474  safe=0.0403  ft=0.8126  model_loss_ema=0.1402  sel_loss=0.8380
  step 210/7474  safe=0.1118  ft=0.6625  model_loss_ema=0.1544  sel_loss=0.6848
  step 220/7474  safe=0.0265  ft=0.5292  model_loss_ema=0.1421  sel_loss=0.5483
  step 230/7474  safe=0.0150  ft=0.6113  model_loss_ema=0.1347  sel_loss=0.6349
  step 240/7474  safe=0.0460  ft=0.4897  model_loss_ema=0.1195  sel_loss=0.5098
  step 250/7474  safe=0.0094  ft=0.3181  model_loss_ema=0.1163  sel_loss=0.3319
  step 260/7474  safe=0.0273  ft=0.8254  model_loss_ema=0.1171  sel_loss=0.8635
  step 270/7474  safe=0.1435  ft=0.5659  model_loss_ema=0.1174  sel_loss=0.5935
  step 280/7474  safe=0.0724  ft=0.2953  model_loss_ema=0.1160  sel_loss=0.3106
  step 290/7474  safe=0.1889  ft=0.5175  model_loss_ema=0.1369  sel_loss=0.5457
  step 300/7474  safe=0.0536  ft=0.2699  model_loss_ema=0.1384  sel_loss=0.2854
  step 310/7474  safe=0.0160  ft=0.4642  model_loss_ema=0.1211  sel_loss=0.4922
  step 320/7474  safe=0.1856  ft=0.4095  model_loss_ema=0.1267  sel_loss=0.4353
  step 330/7474  safe=0.1169  ft=0.6779  model_loss_ema=0.1253  sel_loss=0.7225
  step 340/7474  safe=0.2193  ft=0.1809  model_loss_ema=0.1219  sel_loss=0.1934
