════════════════════════════════════════════════════════════════
 Revision 실험 계획
   repo      : /NHNHOME/NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/Safety-WaRP-LLM
   python    : /NHNHOME/NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/miniconda3/envs/hb/bin/python
   safety    : cb
   models    : llama2_7b
   methods   : seal
   tasks     : medqa arc
   eff.batch : 16   epochs: 3   max_len: 1024   seed: 42
   full-param: lr=5e-5 wd=0.01 warmup=0.1
   lora      : r=16 a=16 drop=0.05 wd=0.0 warmup=0.03
               lr=3e-4 (gsm8k/math/medqa/arc) · 7e-5 (agnews)
   out       : /NHNHOME/NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/Safety-WaRP-LLM/outputs/revision_qa_a16
   hf        : kmseong  (업로드 후 로컬 삭제=0, basis 삭제=1)
════════════════════════════════════════════════════════════════

  SEAL top-p     : 0.8 (top80)
  selector epochs: 2
  S2 (full-param): lr=5e-5 wd=0.01 warmup=0.1 epochs=3
  selector ckpt  : /NHNHOME/NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/Safety-WaRP-LLM/seal/ckpt/revision

──────────────────────────────────────────────────────────────
  seal-S1 selector  cb/llama2_7b/medqa  batch=4   (09-07 21:53:15)
──────────────────────────────────────────────────────────────
`torch_dtype` is deprecated! Use `dtype` instead!
[selector] loading model: kmseong/llama2_7b-chat-Safety-FT-lr5e-5
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:00,  3.08it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:00<00:00,  3.40it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00,  3.71it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00,  3.58it/s]
trainable params: 28,049,408 || all params: 6,766,465,024 || trainable%: 0.4145
[selector] building datasets ...
Map:   0%|          | 0/10178 [00:00<?, ? examples/s]Map:  97%|█████████▋| 9920/10178 [00:00<00:00, 98785.34 examples/s]Map: 100%|██████████| 10178/10178 [00:00<00:00, 95421.83 examples/s]
[selector] safe=4994  downstream=10178

[selector] epoch 0  ul_weight=0.900
  step 10/5090  safe=0.0649  ft=1.0501  model_loss_ema=0.1377  sel_loss=1.0503
  step 20/5090  safe=0.0906  ft=0.8573  model_loss_ema=0.1552  sel_loss=0.8581
  step 30/5090  safe=0.0486  ft=0.7500  model_loss_ema=0.1530  sel_loss=0.7514
  step 40/5090  safe=0.0679  ft=1.0758  model_loss_ema=0.1635  sel_loss=1.0791
  step 50/5090  safe=0.0737  ft=0.7654  model_loss_ema=0.1653  sel_loss=0.7690
  step 60/5090  safe=0.0563  ft=0.7355  model_loss_ema=0.1642  sel_loss=0.7401
  step 70/5090  safe=0.0547  ft=0.8897  model_loss_ema=0.1650  sel_loss=0.8971
  step 80/5090  safe=0.0506  ft=0.7486  model_loss_ema=0.1485  sel_loss=0.7563
  step 90/5090  safe=0.0256  ft=0.6010  model_loss_ema=0.1356  sel_loss=0.6085
  step 100/5090  safe=0.0615  ft=0.2326  model_loss_ema=0.1258  sel_loss=0.2360
  step 110/5090  safe=0.0958  ft=0.1914  model_loss_ema=0.1258  sel_loss=0.1946
  step 120/5090  safe=0.0471  ft=0.1863  model_loss_ema=0.1187  sel_loss=0.1898
  step 130/5090  safe=0.1034  ft=0.1763  model_loss_ema=0.1107  sel_loss=0.1800
  step 140/5090  safe=0.0857  ft=0.1351  model_loss_ema=0.1027  sel_loss=0.1383
  step 150/5090  safe=0.1529  ft=0.0938  model_loss_ema=0.0920  sel_loss=0.0962
  step 160/5090  safe=0.0603  ft=0.1689  model_loss_ema=0.0852  sel_loss=0.1737
  step 170/5090  safe=0.0391  ft=0.1649  model_loss_ema=0.0814  sel_loss=0.1700
  step 180/5090  safe=0.0420  ft=0.1901  model_loss_ema=0.0774  sel_loss=0.1966
  step 190/5090  safe=0.0995  ft=0.1580  model_loss_ema=0.0838  sel_loss=0.1640
  step 200/5090  safe=0.0379  ft=0.1151  model_loss_ema=0.0824  sel_loss=0.1200
  step 210/5090  safe=0.0706  ft=0.1069  model_loss_ema=0.0864  sel_loss=0.1118
  step 220/5090  safe=0.1041  ft=0.1241  model_loss_ema=0.0850  sel_loss=0.1303
  step 230/5090  safe=0.0994  ft=0.1969  model_loss_ema=0.0909  sel_loss=0.2077
  step 240/5090  safe=0.0590  ft=0.1252  model_loss_ema=0.0823  sel_loss=0.1325
  step 250/5090  safe=0.0500  ft=0.0943  model_loss_ema=0.0744  sel_loss=0.1002
  step 260/5090  safe=0.1011  ft=0.1544  model_loss_ema=0.0739  sel_loss=0.1646
  step 270/5090  safe=0.0598  ft=0.1673  model_loss_ema=0.0778  sel_loss=0.1791
  step 280/5090  safe=0.0758  ft=0.0997  model_loss_ema=0.0713  sel_loss=0.1072
  step 290/5090  safe=0.0654  ft=0.1133  model_loss_ema=0.0715  sel_loss=0.1223
  step 300/5090  safe=0.1103  ft=0.1054  model_loss_ema=0.0735  sel_loss=0.1143
  step 310/5090  safe=0.0943  ft=0.1270  model_loss_ema=0.0792  sel_loss=0.1382
  step 320/5090  safe=0.0464  ft=0.1307  model_loss_ema=0.0772  sel_loss=0.1429
  step 330/5090  safe=0.0190  ft=0.1038  model_loss_ema=0.0722  sel_loss=0.1140
  step 340/5090  safe=0.0739  ft=0.1311  model_loss_ema=0.0773  sel_loss=0.1446
  step 350/5090  safe=0.1538  ft=0.0832  model_loss_ema=0.0753  sel_loss=0.0922
  step 360/5090  safe=0.0529  ft=0.1505  model_loss_ema=0.0723  sel_loss=0.1674
  step 370/5090  safe=0.1583  ft=0.1722  model_loss_ema=0.0771  sel_loss=0.1925
  step 380/5090  safe=0.0762  ft=0.1605  model_loss_ema=0.0797  sel_loss=0.1802
  step 390/5090  safe=0.0675  ft=0.1281  model_loss_ema=0.0791  sel_loss=0.1445
  step 400/5090  safe=0.0214  ft=0.1286  model_loss_ema=0.0726  sel_loss=0.1457
  step 410/5090  safe=0.0976  ft=0.1274  model_loss_ema=0.0827  sel_loss=0.1449
  step 420/5090  safe=0.0347  ft=0.1203  model_loss_ema=0.0763  sel_loss=0.1374
  step 430/5090  safe=0.0216  ft=0.1165  model_loss_ema=0.0653  sel_loss=0.1337
  step 440/5090  safe=0.0446  ft=0.1377  model_loss_ema=0.0773  sel_loss=0.1587
  step 450/5090  safe=0.0515  ft=0.1124  model_loss_ema=0.0773  sel_loss=0.1302
  step 460/5090  safe=0.0522  ft=0.1304  model_loss_ema=0.0795  sel_loss=0.1516
  step 470/5090  safe=0.0996  ft=0.0957  model_loss_ema=0.0864  sel_loss=0.1118
  step 480/5090  safe=0.0191  ft=0.1635  model_loss_ema=0.0863  sel_loss=0.1918
  step 490/5090  safe=0.0183  ft=0.1492  model_loss_ema=0.0816  sel_loss=0.1758
  step 500/5090  safe=0.0883  ft=0.1703  model_loss_ema=0.0787  sel_loss=0.2016
  step 510/5090  safe=0.0457  ft=0.1367  model_loss_ema=0.0725  sel_loss=0.1626
  step 520/5090  safe=0.0942  ft=0.1307  model_loss_ema=0.0762  sel_loss=0.1561
  step 530/5090  safe=0.0637  ft=0.1741  model_loss_ema=0.0772  sel_loss=0.2089
  step 540/5090  safe=0.1279  ft=0.1120  model_loss_ema=0.0814  sel_loss=0.1350
  step 550/5090  safe=0.0321  ft=0.1256  model_loss_ema=0.0716  sel_loss=0.1521
  step 560/5090  safe=0.0579  ft=0.1431  model_loss_ema=0.0746  sel_loss=0.1741
  step 570/5090  safe=0.0398  ft=0.1202  model_loss_ema=0.0797  sel_loss=0.1469
  step 580/5090  safe=0.0379  ft=0.1472  model_loss_ema=0.0725  sel_loss=0.1807
  step 590/5090  safe=0.0880  ft=0.1748  model_loss_ema=0.0749  sel_loss=0.2156
  step 600/5090  safe=0.0492  ft=0.1761  model_loss_ema=0.0815  sel_loss=0.2182
  step 610/5090  safe=0.0190  ft=0.1962  model_loss_ema=0.0820  sel_loss=0.2443
  step 620/5090  safe=0.0507  ft=0.1116  model_loss_ema=0.0783  sel_loss=0.1396
  step 630/5090  safe=0.1569  ft=0.1201  model_loss_ema=0.0798  sel_loss=0.1509
  step 640/5090  safe=0.1327  ft=0.0836  model_loss_ema=0.0839  sel_loss=0.1056
  step 650/5090  safe=0.0252  ft=0.1023  model_loss_ema=0.0839  sel_loss=0.1298
  step 660/5090  safe=0.0609  ft=0.1539  model_loss_ema=0.0821  sel_loss=0.1963
  step 670/5090  safe=0.0910  ft=0.1194  model_loss_ema=0.0851  sel_loss=0.1530
  step 680/5090  safe=0.1804  ft=0.1619  model_loss_ema=0.0843  sel_loss=0.2084
  step 690/5090  safe=0.0754  ft=0.1624  model_loss_ema=0.0796  sel_loss=0.2100
  step 700/5090  safe=0.0587  ft=0.1256  model_loss_ema=0.0767  sel_loss=0.1633
  step 710/5090  safe=0.0472  ft=0.1107  model_loss_ema=0.0757  sel_loss=0.1445
  step 720/5090  safe=0.0512  ft=0.1174  model_loss_ema=0.0699  sel_loss=0.1541
  step 730/5090  safe=0.0348  ft=0.1401  model_loss_ema=0.0728  sel_loss=0.1848
  step 740/5090  safe=0.0290  ft=0.1371  model_loss_ema=0.0665  sel_loss=0.1817
  step 750/5090  safe=0.0370  ft=0.1679  model_loss_ema=0.0702  sel_loss=0.2238
  step 760/5090  safe=0.1671  ft=0.1151  model_loss_ema=0.0732  sel_loss=0.1541
  step 770/5090  safe=0.0430  ft=0.1453  model_loss_ema=0.0659  sel_loss=0.1956
  step 780/5090  safe=0.0566  ft=0.1116  model_loss_ema=0.0700  sel_loss=0.1510
  step 790/5090  safe=0.0406  ft=0.1145  model_loss_ema=0.0769  sel_loss=0.1557
  step 800/5090  safe=0.0722  ft=0.3364  model_loss_ema=0.0818  sel_loss=0.4596
  step 810/5090  safe=0.1018  ft=0.1176  model_loss_ema=0.0793  sel_loss=0.1615
  step 820/5090  safe=0.0799  ft=0.0988  model_loss_ema=0.0824  sel_loss=0.1365
  step 830/5090  safe=0.0726  ft=0.1056  model_loss_ema=0.0783  sel_loss=0.1466
  step 840/5090  safe=0.0706  ft=0.1427  model_loss_ema=0.0709  sel_loss=0.1990
  step 850/5090  safe=0.0881  ft=0.1161  model_loss_ema=0.0745  sel_loss=0.1628
  step 860/5090  safe=0.0422  ft=0.1003  model_loss_ema=0.0730  sel_loss=0.1414
  step 870/5090  safe=0.0455  ft=0.1364  model_loss_ema=0.0766  sel_loss=0.1933
  step 880/5090  safe=0.0390  ft=0.1320  model_loss_ema=0.0777  sel_loss=0.1881
  step 890/5090  safe=0.0250  ft=0.1408  model_loss_ema=0.0756  sel_loss=0.2016
  step 900/5090  safe=0.0478  ft=0.1082  model_loss_ema=0.0773  sel_loss=0.1558
  step 910/5090  safe=0.0814  ft=0.1423  model_loss_ema=0.0797  sel_loss=0.2060
  step 920/5090  safe=0.0403  ft=0.1051  model_loss_ema=0.0760  sel_loss=0.1530
  step 930/5090  safe=0.0531  ft=0.1807  model_loss_ema=0.0876  sel_loss=0.2644
  step 940/5090  safe=0.0903  ft=0.1227  model_loss_ema=0.0787  sel_loss=0.1806
  step 950/5090  safe=0.0635  ft=0.1185  model_loss_ema=0.0738  sel_loss=0.1753
  step 960/5090  safe=0.0473  ft=0.1673  model_loss_ema=0.0745  sel_loss=0.2489
  step 970/5090  safe=0.0793  ft=0.0895  model_loss_ema=0.0808  sel_loss=0.1340
  step 980/5090  safe=0.0217  ft=0.1133  model_loss_ema=0.0789  sel_loss=0.1704
  step 990/5090  safe=0.0532  ft=0.2040  model_loss_ema=0.0740  sel_loss=0.3088
  step 1000/5090  safe=0.0335  ft=0.1629  model_loss_ema=0.0761  sel_loss=0.2480
  step 1010/5090  safe=0.0828  ft=0.1386  model_loss_ema=0.0746  sel_loss=0.2121
  step 1020/5090  safe=0.1237  ft=0.2060  model_loss_ema=0.0845  sel_loss=0.3171
  step 1030/5090  safe=0.0741  ft=0.1221  model_loss_ema=0.0851  sel_loss=0.1891
  step 1040/5090  safe=0.0481  ft=0.1002  model_loss_ema=0.0861  sel_loss=0.1560
  step 1050/5090  safe=0.0336  ft=0.1239  model_loss_ema=0.0805  sel_loss=0.1941
  step 1060/5090  safe=0.1018  ft=0.1029  model_loss_ema=0.0790  sel_loss=0.1622
  step 1070/5090  safe=0.0807  ft=0.1432  model_loss_ema=0.0737  sel_loss=0.2270
  step 1080/5090  safe=0.0185  ft=0.1404  model_loss_ema=0.0734  sel_loss=0.2240
  step 1090/5090  safe=0.0992  ft=0.1461  model_loss_ema=0.0774  sel_loss=0.2344
  step 1100/5090  safe=0.0210  ft=0.1091  model_loss_ema=0.0777  sel_loss=0.1761
  step 1110/5090  safe=0.0204  ft=0.0986  model_loss_ema=0.0807  sel_loss=0.1600
  step 1120/5090  safe=0.1155  ft=0.1480  model_loss_ema=0.0870  sel_loss=0.2419
  step 1130/5090  safe=0.0213  ft=0.1357  model_loss_ema=0.0786  sel_loss=0.2232
  step 1140/5090  safe=0.0555  ft=0.1491  model_loss_ema=0.0788  sel_loss=0.2466
  step 1150/5090  safe=0.0357  ft=0.1506  model_loss_ema=0.0780  sel_loss=0.2507
  step 1160/5090  safe=0.0701  ft=0.1690  model_loss_ema=0.0767  sel_loss=0.2830
  step 1170/5090  safe=0.0395  ft=0.0930  model_loss_ema=0.0706  sel_loss=0.1567
  step 1180/5090  safe=0.0244  ft=0.1208  model_loss_ema=0.0820  sel_loss=0.2047
  step 1190/5090  safe=0.1278  ft=0.1017  model_loss_ema=0.0886  sel_loss=0.1735
  step 1200/5090  safe=0.0967  ft=0.1502  model_loss_ema=0.0919  sel_loss=0.2578
  step 1210/5090  safe=0.0232  ft=0.1279  model_loss_ema=0.0951  sel_loss=0.2210
  step 1220/5090  safe=0.0259  ft=0.0897  model_loss_ema=0.0881  sel_loss=0.1559
  step 1230/5090  safe=0.0987  ft=0.1622  model_loss_ema=0.0835  sel_loss=0.2839
  step 1240/5090  safe=0.0718  ft=0.1316  model_loss_ema=0.0786  sel_loss=0.2319
  step 1250/5090  safe=0.0392  ft=0.0834  model_loss_ema=0.0823  sel_loss=0.1479
  step 1260/5090  safe=0.1409  ft=0.0860  model_loss_ema=0.0850  sel_loss=0.1536
  step 1270/5090  safe=0.0393  ft=0.1240  model_loss_ema=0.0842  sel_loss=0.2229
  step 1280/5090  safe=0.1435  ft=0.1247  model_loss_ema=0.0857  sel_loss=0.2257
  step 1290/5090  safe=0.0832  ft=0.1288  model_loss_ema=0.0858  sel_loss=0.2346
  step 1300/5090  safe=0.1741  ft=0.0931  model_loss_ema=0.0935  sel_loss=0.1707
  step 1310/5090  safe=0.0645  ft=0.1520  model_loss_ema=0.0924  sel_loss=0.2805
  step 1320/5090  safe=0.0565  ft=0.0949  model_loss_ema=0.0932  sel_loss=0.1765
  step 1330/5090  safe=0.0508  ft=0.1643  model_loss_ema=0.0858  sel_loss=0.3076
  step 1340/5090  safe=0.0640  ft=0.1258  model_loss_ema=0.0849  sel_loss=0.2371
  step 1350/5090  safe=0.1252  ft=0.1695  model_loss_ema=0.0862  sel_loss=0.3217
  step 1360/5090  safe=0.0825  ft=0.1567  model_loss_ema=0.0961  sel_loss=0.2996
  step 1370/5090  safe=0.0515  ft=0.1413  model_loss_ema=0.1072  sel_loss=0.2720
  step 1380/5090  safe=0.0835  ft=0.1523  model_loss_ema=0.1017  sel_loss=0.2953
  step 1390/5090  safe=0.0773  ft=0.1622  model_loss_ema=0.0976  sel_loss=0.3168
  step 1400/5090  safe=0.0807  ft=0.1281  model_loss_ema=0.0891  sel_loss=0.2521
  step 1410/5090  safe=0.0857  ft=0.1239  model_loss_ema=0.0862  sel_loss=0.2456
  step 1420/5090  safe=0.0182  ft=0.1066  model_loss_ema=0.0866  sel_loss=0.2129
  step 1430/5090  safe=0.0454  ft=0.1524  model_loss_ema=0.0792  sel_loss=0.3066
  step 1440/5090  safe=0.0651  ft=0.1404  model_loss_ema=0.0869  sel_loss=0.2846
  step 1450/5090  safe=0.1358  ft=0.1505  model_loss_ema=0.0908  sel_loss=0.3073
  step 1460/5090  safe=0.1021  ft=0.1116  model_loss_ema=0.0914  sel_loss=0.2297
  step 1470/5090  safe=0.0170  ft=0.1196  model_loss_ema=0.0902  sel_loss=0.2480
  step 1480/5090  safe=0.0697  ft=0.0755  model_loss_ema=0.0919  sel_loss=0.1577
  step 1490/5090  safe=0.0631  ft=0.0857  model_loss_ema=0.0842  sel_loss=0.1803
  step 1500/5090  safe=0.0244  ft=0.0926  model_loss_ema=0.0824  sel_loss=0.1966
  step 1510/5090  safe=0.0832  ft=0.1379  model_loss_ema=0.0838  sel_loss=0.2949
  step 1520/5090  safe=0.0843  ft=0.0823  model_loss_ema=0.0884  sel_loss=0.1774
  step 1530/5090  safe=0.0709  ft=0.1374  model_loss_ema=0.0796  sel_loss=0.2984
  step 1540/5090  safe=0.0565  ft=0.1126  model_loss_ema=0.0791  sel_loss=0.2466
  step 1550/5090  safe=0.0668  ft=0.1596  model_loss_ema=0.0822  sel_loss=0.3525
  step 1560/5090  safe=0.0663  ft=0.1095  model_loss_ema=0.0876  sel_loss=0.2437
