════════════════════════════════════════════════════════════════
  Table 7 · Llama-3.1-8B Base × PEFT 7종
    python    : /NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/miniconda3/envs/hb/bin/python
    HF_HOME   : /NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/.hf_cache
    출발 모델 : kmseong/Llama-3.1-8B-base-SSFT_lr5e-5
    LoRA      : r=16 alpha=16 lr=3e-4 ep3 eff.batch16
    SEAL      : full-param lr=1e-5 topp=0.8
    LISA ρ    : 1.0   WSR-LoRA ρ : 0.3   SafeLoRA thr : 0.3
    stages    : 21
    log       : /NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/Safety-WaRP-LLM/logs/revision/llama31_8b_base_20260916_105957.log
════════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════════
 Revision 실험 계획
   repo      : /NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/Safety-WaRP-LLM
   python    : /NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/miniconda3/envs/hb/bin/python
   safety    : cb
   models    : llama31_8b_base
   methods   : seal
   tasks     : gsm8k
   eff.batch : 16   epochs: 3   max_len: 1024   seed: 42
   full-param: lr=1e-5 wd=0.01 warmup=0.1
   lora      : r=16 a=16 drop=0.05 wd=0.0 warmup=0.03
               lr=3e-4 (gsm8k/math/medqa/arc) · 7e-5 (agnews)
   out       : /NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/Safety-WaRP-LLM/outputs/revision
   hf        : kmseong  (업로드 후 로컬 삭제=0, basis 삭제=0)
════════════════════════════════════════════════════════════════

  SEAL top-p     : 0.8 (top80)
  selector epochs: 2
  S2 (full-param): lr=1e-5 wd=0.01 warmup=0.1 epochs=3
  selector ckpt  : /NHNHOME/26msit001_A/BASE/edge_ai_lab/minseong/Safety-WaRP-LLM/seal/ckpt/revision

──────────────────────────────────────────────────────────────
  seal-S1 selector  cb/llama31_8b_base/gsm8k  batch=4   (09-16 10:59:57)
──────────────────────────────────────────────────────────────
`torch_dtype` is deprecated! Use `dtype` instead!
[selector] loading model: kmseong/Llama-3.1-8B-base-SSFT_lr5e-5
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.55s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:03<00:03,  1.57s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.60s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.14s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.30s/it]
trainable params: 28,311,552 || all params: 8,058,572,800 || trainable%: 0.3513
[selector] building datasets ...
Map:   0%|          | 0/7473 [00:00<?, ? examples/s]Map: 100%|██████████| 7473/7473 [00:00<00:00, 95525.84 examples/s]
[selector] safe=4994  downstream=7473

[selector] epoch 0  ul_weight=0.900
  step 10/3738  safe=0.6690  ft=2.5795  model_loss_ema=0.8755  sel_loss=2.5803
  step 20/3738  safe=0.9134  ft=2.3912  model_loss_ema=0.8816  sel_loss=2.3941
  step 30/3738  safe=0.6612  ft=1.9401  model_loss_ema=0.8642  sel_loss=1.9450
  step 40/3738  safe=0.6682  ft=2.2276  model_loss_ema=0.8920  sel_loss=2.2373
  step 50/3738  safe=0.7646  ft=1.9106  model_loss_ema=0.8951  sel_loss=1.9228
  step 60/3738  safe=0.7399  ft=3.0658  model_loss_ema=0.8794  sel_loss=3.0928
  step 70/3738  safe=0.5824  ft=2.3524  model_loss_ema=0.8545  sel_loss=2.3796
  step 80/3738  safe=0.8191  ft=2.2226  model_loss_ema=0.8506  sel_loss=2.2551
  step 90/3738  safe=0.5300  ft=2.4556  model_loss_ema=0.8367  sel_loss=2.4995
  step 100/3738  safe=0.4312  ft=2.1585  model_loss_ema=0.7897  sel_loss=2.2046
  step 110/3738  safe=0.5661  ft=2.3467  model_loss_ema=0.7031  sel_loss=2.4054
  step 120/3738  safe=0.0788  ft=1.8058  model_loss_ema=0.5599  sel_loss=1.8580
  step 130/3738  safe=0.1935  ft=1.7457  model_loss_ema=0.4600  sel_loss=1.8033
  step 140/3738  safe=0.0681  ft=2.0002  model_loss_ema=0.4318  sel_loss=2.0748
  step 150/3738  safe=0.0857  ft=1.7805  model_loss_ema=0.3868  sel_loss=1.8547
  step 160/3738  safe=0.1980  ft=1.8519  model_loss_ema=0.3664  sel_loss=1.9376
  step 170/3738  safe=0.4498  ft=1.8885  model_loss_ema=0.3616  sel_loss=1.9848
  step 180/3738  safe=0.0908  ft=1.6250  model_loss_ema=0.3348  sel_loss=1.7157
  step 190/3738  safe=0.0300  ft=1.2230  model_loss_ema=0.3180  sel_loss=1.2973
  step 200/3738  safe=0.2414  ft=1.5665  model_loss_ema=0.3123  sel_loss=1.6694
  step 210/3738  safe=0.0649  ft=1.6777  model_loss_ema=0.2964  sel_loss=1.7966
  step 220/3738  safe=0.1404  ft=1.3941  model_loss_ema=0.2809  sel_loss=1.5004
  step 230/3738  safe=0.1093  ft=1.2585  model_loss_ema=0.2690  sel_loss=1.3614
  step 240/3738  safe=0.1255  ft=1.1612  model_loss_ema=0.2556  sel_loss=1.2625
  step 250/3738  safe=0.0830  ft=0.9934  model_loss_ema=0.2418  sel_loss=1.0857
  step 260/3738  safe=0.2038  ft=1.1173  model_loss_ema=0.2447  sel_loss=1.2275
  step 270/3738  safe=0.1805  ft=1.2456  model_loss_ema=0.2370  sel_loss=1.3759
  step 280/3738  safe=0.1905  ft=1.3696  model_loss_ema=0.2393  sel_loss=1.5212
  step 290/3738  safe=0.0606  ft=0.9409  model_loss_ema=0.2221  sel_loss=1.0510
  step 300/3738  safe=0.0441  ft=0.9532  model_loss_ema=0.2114  sel_loss=1.0708
  step 310/3738  safe=0.0968  ft=0.8930  model_loss_ema=0.2029  sel_loss=1.0088
  step 320/3738  safe=0.1442  ft=0.7710  model_loss_ema=0.1996  sel_loss=0.8761
