2026-04-27 12:12:32 INFO ======================================================================
2026-04-27 12:12:32 INFO WaRP-Rotated Safe LoRA — apply_warp_safe_lora.py
2026-04-27 12:12:32 INFO ======================================================================
2026-04-27 12:12:32 INFO   base_model        : meta-llama/Llama-2-7b-hf
2026-04-27 12:12:32 INFO   aligned_model     : kmseong/llama2_7b-Safety-FT-lr3e-5
2026-04-27 12:12:32 INFO   lora_adapter_path : /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/lora_gsm8k_20260427_000614
2026-04-27 12:12:32 INFO   basis_dir         : /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/phase1_20260427_000617/basis
2026-04-27 12:12:32 INFO   output_path       : ./checkpoints/warp_safelora_20260427_000614
2026-04-27 12:12:32 INFO   top_k             : None  (ratio=0.50)
2026-04-27 12:12:32 INFO   select_type       : number
2026-04-27 12:12:32 INFO   threshold         : 0.500
2026-04-27 12:12:32 INFO   num_proj_layers   : 20
2026-04-27 12:12:32 INFO   use_approx        : True
2026-04-27 12:12:32 INFO 
2026-04-27 12:12:33 INFO [Step 1] Loading aligned model: kmseong/llama2_7b-Safety-FT-lr3e-5 ...
2026-04-27 12:12:35 INFO [Step 1] Loading LoRA adapter: /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/lora_gsm8k_20260427_000614 ...
2026-04-27 12:13:01 INFO [Step 1] LoRA adapter loaded.
2026-04-27 12:13:02 INFO [Step 2] Applying WaRP-Rotated Safe LoRA projection...
2026-04-27 12:13:02 INFO ======================================================================
2026-04-27 12:13:02 INFO [WaRPSafeLoRA] Loading WaRP basis from: /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/phase1_20260427_000617/basis
2026-04-27 12:13:02 INFO   Basis metadata: model=kmseong/llama2_7b-Safety-FT-lr3e-5, layer_types=['attn_k', 'attn_o', 'attn_q', 'attn_v', 'ffn_down', 'ffn_gate', 'ffn_up']
2026-04-27 12:13:17 INFO   Loaded 224 basis matrices.
2026-04-27 12:13:17 INFO   Collected 224 LoRA module pairs.
2026-04-27 12:13:17 INFO 
2026-04-27 12:13:17 INFO [WaRPSafeLoRA] Building alignment projectors...
2026-04-27 12:13:17 INFO   Loading base model from meta-llama/Llama-2-7b-hf (cpu, torch.bfloat16)...
2026-04-27 12:13:27 INFO   Loading aligned model from kmseong/llama2_7b-Safety-FT-lr3e-5 (cpu, torch.bfloat16)...
2026-04-27 12:13:28 INFO   Computing alignment deltas & projectors...
2026-04-27 12:13:28 INFO   top_k=None, top_k_ratio=0.50, use_approximation=True
2026-04-27 12:13:28 INFO 
2026-04-27 12:13:28 INFO   Module                                                               in_dim         k     ‖V‖_F  ‖C_rot-C_orig‖_F
2026-04-27 12:13:28 INFO   ---------------------------------------------------------------------------------------------------------
2026-04-27 12:13:29 INFO   base_model.model.model.layers.0.mlp.down_proj                         11008      5504    1.4310    0.011478
2026-04-27 12:13:31 INFO   base_model.model.model.layers.0.mlp.gate_proj                          4096      2048    1.4237    0.016777
2026-04-27 12:13:33 INFO   base_model.model.model.layers.0.mlp.up_proj                            4096      2048    1.4075    0.016689
2026-04-27 12:13:33 INFO   base_model.model.model.layers.0.self_attn.k_proj                       4096      2048    0.9111    0.015644
2026-04-27 12:13:34 INFO   base_model.model.model.layers.0.self_attn.o_proj                       4096      2048    1.3347    0.099504
2026-04-27 12:13:35 INFO   base_model.model.model.layers.0.self_attn.q_proj                       4096      2048    0.9341    0.023852
2026-04-27 12:13:35 INFO   base_model.model.model.layers.0.self_attn.v_proj                       4096      2048    0.9767    0.013670
2026-04-27 12:13:37 INFO   base_model.model.model.layers.1.mlp.down_proj                         11008      5504    1.4514    0.011695
2026-04-27 12:13:38 INFO   base_model.model.model.layers.1.mlp.gate_proj                          4096      2048    1.3548    0.015581
2026-04-27 12:13:40 INFO   base_model.model.model.layers.1.mlp.up_proj                            4096      2048    1.3852    0.015905
2026-04-27 12:13:41 INFO   base_model.model.model.layers.1.self_attn.k_proj                       4096      2048    0.7805    0.011230
2026-04-27 12:13:41 INFO   base_model.model.model.layers.1.self_attn.o_proj                       4096      2048    1.3051    0.121744
2026-04-27 12:13:42 INFO   base_model.model.model.layers.1.self_attn.q_proj                       4096      2048    0.8306    0.010371
2026-04-27 12:13:43 INFO   base_model.model.model.layers.1.self_attn.v_proj                       4096      2048    0.9597    0.015578
2026-04-27 12:13:44 INFO   base_model.model.model.layers.10.mlp.down_proj                        11008      5504    1.3581    0.011462
2026-04-27 12:13:46 INFO   base_model.model.model.layers.10.mlp.gate_proj                         4096      2048    1.3666    0.016417
2026-04-27 12:13:47 INFO   base_model.model.model.layers.10.mlp.up_proj                           4096      2048    1.3505    0.016314
2026-04-27 12:13:48 INFO   base_model.model.model.layers.10.self_attn.k_proj                      4096      2048    0.8098    0.010041
2026-04-27 12:13:49 INFO   base_model.model.model.layers.10.self_attn.o_proj                      4096      2048    0.9116    0.011161
2026-04-27 12:13:50 INFO   base_model.model.model.layers.10.self_attn.q_proj                      4096      2048    0.8046    0.010109
2026-04-27 12:13:50 INFO   base_model.model.model.layers.10.self_attn.v_proj                      4096      2048    0.8827    0.011695
2026-04-27 12:13:51 INFO   base_model.model.model.layers.11.mlp.down_proj                        11008      5504    1.3556    0.011430
2026-04-27 12:13:53 INFO   base_model.model.model.layers.11.mlp.gate_proj                         4096      2048    1.3792    0.016636
