2026-04-26 16:55:55 INFO ======================================================================
2026-04-26 16:55:55 INFO WaRP-Rotated Safe LoRA — apply_warp_safe_lora.py
2026-04-26 16:55:55 INFO ======================================================================
2026-04-26 16:55:55 INFO   base_model        : meta-llama/Llama-2-7b-hf
2026-04-26 16:55:55 INFO   aligned_model     : kmseong/llama2_7b-Safety-FT-lr3e-5
2026-04-26 16:55:55 INFO   lora_adapter_path : /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/lora_gsm8k_20260426_163346
2026-04-26 16:55:55 INFO   basis_dir         : /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/phase1_20260426_161130/basis
2026-04-26 16:55:55 INFO   output_path       : ./checkpoints/warp_safelora_20260426_165552
2026-04-26 16:55:55 INFO   top_k             : None  (ratio=0.50)
2026-04-26 16:55:55 INFO   select_type       : number
2026-04-26 16:55:55 INFO   threshold         : 0.500
2026-04-26 16:55:55 INFO   num_proj_layers   : 20
2026-04-26 16:55:55 INFO   use_approx        : True
2026-04-26 16:55:55 INFO 
2026-04-26 16:55:56 INFO [Step 1] Loading aligned model: kmseong/llama2_7b-Safety-FT-lr3e-5 ...
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:00,  2.40it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:00<00:00,  2.67it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.92it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.82it/s]
2026-04-26 16:55:58 INFO [Step 1] Loading LoRA adapter: /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/lora_gsm8k_20260426_163346 ...
2026-04-26 16:56:25 INFO [Step 1] LoRA adapter loaded.
2026-04-26 16:56:26 INFO [Step 2] Applying WaRP-Rotated Safe LoRA projection...
2026-04-26 16:56:26 INFO ======================================================================
2026-04-26 16:56:26 INFO [WaRPSafeLoRA] Loading WaRP basis from: /home/yonsei_jong/Safety-WaRP-LLM/checkpoints/phase1_20260426_161130/basis
2026-04-26 16:56:26 INFO   Basis metadata: model=kmseong/llama2_7b-Safety-FT-lr3e-5, layer_types=['attn_k', 'attn_o', 'attn_q', 'attn_v', 'ffn_down', 'ffn_gate', 'ffn_up']
2026-04-26 16:56:40 INFO   Loaded 224 basis matrices.
2026-04-26 16:56:40 INFO   Collected 224 LoRA module pairs.
2026-04-26 16:56:40 INFO 
2026-04-26 16:56:40 INFO [WaRPSafeLoRA] Building alignment projectors...
2026-04-26 16:56:40 INFO   Loading base model from meta-llama/Llama-2-7b-hf (cpu, torch.bfloat16)...
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:07<00:07,  7.14s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:09<00:00,  4.35s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:09<00:00,  4.77s/it]
2026-04-26 16:56:50 INFO   Loading aligned model from kmseong/llama2_7b-Safety-FT-lr3e-5 (cpu, torch.bfloat16)...
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 235.40it/s]
2026-04-26 16:56:51 INFO   Computing alignment deltas & projectors...
2026-04-26 16:56:51 INFO   top_k=None, top_k_ratio=0.50, use_approximation=True
2026-04-26 16:56:51 INFO 
2026-04-26 16:56:51 INFO   Module                                                               in_dim         k     ‖V‖_F  ‖C_rot-C_orig‖_F
2026-04-26 16:56:51 INFO   ---------------------------------------------------------------------------------------------------------
2026-04-26 16:56:52 INFO   base_model.model.model.layers.0.mlp.down_proj                         11008      5504    1.4310    0.011478
2026-04-26 16:56:54 INFO   base_model.model.model.layers.0.mlp.gate_proj                          4096      2048    1.4237    0.016777
2026-04-26 16:56:56 INFO   base_model.model.model.layers.0.mlp.up_proj                            4096      2048    1.4075    0.016689
2026-04-26 16:56:56 INFO   base_model.model.model.layers.0.self_attn.k_proj                       4096      2048    0.9111    0.015644
2026-04-26 16:56:57 INFO   base_model.model.model.layers.0.self_attn.o_proj                       4096      2048    1.3347    0.099504
2026-04-26 16:56:58 INFO   base_model.model.model.layers.0.self_attn.q_proj                       4096      2048    0.9341    0.023852
2026-04-26 16:56:58 INFO   base_model.model.model.layers.0.self_attn.v_proj                       4096      2048    0.9767    0.013670
2026-04-26 16:57:00 INFO   base_model.model.model.layers.1.mlp.down_proj                         11008      5504    1.4514    0.011695
2026-04-26 16:57:01 INFO   base_model.model.model.layers.1.mlp.gate_proj                          4096      2048    1.3548    0.015581
2026-04-26 16:57:03 INFO   base_model.model.model.layers.1.mlp.up_proj                            4096      2048    1.3852    0.015905
2026-04-26 16:57:04 INFO   base_model.model.model.layers.1.self_attn.k_proj                       4096      2048    0.7805    0.011230
2026-04-26 16:57:05 INFO   base_model.model.model.layers.1.self_attn.o_proj                       4096      2048    1.3051    0.121744
2026-04-26 16:57:05 INFO   base_model.model.model.layers.1.self_attn.q_proj                       4096      2048    0.8306    0.010371
2026-04-26 16:57:06 INFO   base_model.model.model.layers.1.self_attn.v_proj                       4096      2048    0.9597    0.015578
2026-04-26 16:57:07 INFO   base_model.model.model.layers.10.mlp.down_proj                        11008      5504    1.3581    0.011462
2026-04-26 16:57:09 INFO   base_model.model.model.layers.10.mlp.gate_proj                         4096      2048    1.3666    0.016417
2026-04-26 16:57:11 INFO   base_model.model.model.layers.10.mlp.up_proj                           4096      2048    1.3505    0.016314
2026-04-26 16:57:11 INFO   base_model.model.model.layers.10.self_attn.k_proj                      4096      2048    0.8098    0.010041
2026-04-26 16:57:12 INFO   base_model.model.model.layers.10.self_attn.o_proj                      4096      2048    0.9116    0.011161
2026-04-26 16:57:13 INFO   base_model.model.model.layers.10.self_attn.q_proj                      4096      2048    0.8046    0.010109
2026-04-26 16:57:13 INFO   base_model.model.model.layers.10.self_attn.v_proj                      4096      2048    0.8827    0.011695
2026-04-26 16:57:14 INFO   base_model.model.model.layers.11.mlp.down_proj                        11008      5504    1.3556    0.011430
2026-04-26 16:57:16 INFO   base_model.model.model.layers.11.mlp.gate_proj                         4096      2048    1.3792    0.016636
2026-04-26 16:57:18 INFO   base_model.model.model.layers.11.mlp.up_proj                           4096      2048    1.3529    0.016331
2026-04-26 16:57:19 INFO   base_model.model.model.layers.11.self_attn.k_proj                      4096      2048    0.8410    0.010381
2026-04-26 16:57:19 INFO   base_model.model.model.layers.11.self_attn.o_proj                      4096      2048    0.8937    0.010951
2026-04-26 16:57:20 INFO   base_model.model.model.layers.11.self_attn.q_proj                      4096      2048    0.8317    0.010801
2026-04-26 16:57:21 INFO   base_model.model.model.layers.11.self_attn.v_proj                      4096      2048    0.8728    0.011198
2026-04-26 16:57:22 INFO   base_model.model.model.layers.12.mlp.down_proj                        11008      5504    1.3493    0.011418
2026-04-26 16:57:24 INFO   base_model.model.model.layers.12.mlp.gate_proj                         4096      2048    1.3715    0.016823
2026-04-26 16:57:25 INFO   base_model.model.model.layers.12.mlp.up_proj                           4096      2048    1.3374    0.016386
