		GSM8K	ASR(keyword)					Downstrea
HF 주소	HB 이름	llama2 7B chat	Direct	AutoDAN	PAIR	PAP	AVG	GSM8K
kmseong/llama2_7b-chat-Safety-FT-lr5e-5	llama2_7b-chat-Safety-FT-lr5e-5	SSFT	0	0.0058	0.0615	0.16	0.0568	0.0000
kmseong/llama2_7b-chat_gsm8k_full_ft_lr5e-5	llama2_7b-chat-gsm8k-ssft-full_ft_lr5e-5	SSFT+GSM	0.0000	0.0827	0.2635	0.4850	0.2078	0.4117
kmseong/llama2_7b-chat-gsm8k_safelnstr_10p_lr5e-5	llama2_7b-chat-gsm8k-safelnstr-10p-lr5e-5	SafeInstr	0.0000	0.0038	0.1885	0.3496	0.1355	0.3844
kmseong/llama2_7b_chat_gsm8k_resta_gamma0.3	llama2_7b-chat-gsm8k-resta-gamma0.3-lr5e-5	Resta	0.0000	0.0038	0.1577	0.2608	0.1056	0.3692
kmseong/llama2_7b_chat_seal_5e-5	llama2_7b-chat-seal-lr5e-5	SEAL	0	0.0423	0.1692	0.2985	0.1275	0.3889
kmseong/llama2_7b-chat-CB_SSFT-asft_gsm8k_lambda1.0_a16_lr3e-4		AsFT	0.0000	0.0000	0.0846	0.1262	0.0527	0.1971
kmseong/llama2_7b-chat-CB_SSFT-lisa_gsm8k_rho1.0_a16_lr3e-4		Lisa	0.0000	0.0038	0.1635	0.2308	0.0995	0.1440
kmseong/llama2-7b-chat-gsm8k-safedelta-scale0.1	llama2_7b-chat-gsm8k-safedelta-scale0.1	SafeDelta	0.0000	0.0000	0.0692	0.1535	0.0557	0.1979
kmseong/llama2_7b_chat_gsm8k_ft_freeze_sn_lr5e-5_revised	llama2_7b-chat-gsm8k-ft_freeze-sn-lr5e-5	SN	0.0000	0.1769	0.4558	0.4546	0.2718	0.3899
kmseong/llama2_7b_chat_gsm8k_ft_freeze_rsn_lr5e-5_new_revised	llama2_7b-chat-gsm8k-ft_freeze-rsn-lr5e-5	RSN	0.0019	0.0596	0.3885	0.3792	0.2073	0.4026
wvnvwn/llama-2-7b-chat-warp-ratio-0.10	llama2_7b-chat-warp-ratio-0.10	WSR-Tune	0.0000	0.0000	0.0962	0.1800	0.0691	0.3899
								
								
								
		MedQA						
		llama2 7b instruct	Direct	AutoDAN	PAIR	PAP	AVG	MedQA
kmseong/llama2_7b_chat-SSFT-MEDQA-FT-lr3e-5	llama2_7b-chat-SSFT-MEDQA-FT-lr3e-5	SSFT+DT	0.0000	0.0000	0.1000	0.2108	0.0777	0.4430
kmseong/llama2_7b_chat-SSFT-MEDQA-FT-safety-mix-0.1-lr3e-5	llama2_7b-chat-SSFT-MEDQA-FT-safety-mix-0.1-lr3e-5	SafeInstr	0.0000	0.0000	0.1000	0.2027	0.0757	0.4383
kmseong/llama2_7b_chat_medaq_resta_gamma0.3	llama2_7b-chat-medaq-resta-gamma0.3	Resta	0.0000	0.0000	0.0750	0.1735	0.0621	0.4101
kmseong/llama2_7b-chat-CB_SSFT-seal_medqa_topp0.8_lr5e-5		SEAL	0.0038	0.1327	0.4558	0.7531	0.3364	0.3574
kmseong/llama2-7b-chat-medqa-safedelta-scale0.1	llama2_7b-chat-safedelta-medqa-scale0.1	SafeDelta	0.0000	0.0000	0.0654	0.1546	0.0550	0.3362
kmseong/llama2_7b_chat_medqa_ft_freeze_sn_lr1e-5	llama2_7b-chat-medqa-sn_tuned-lr1e-5	SN	0.0019	0.0096	0.2500	0.4958	0.1893	0.4289
kmseong/llama2_7b_chat_medqa_ft_freeze_rsn_lr1e-5	llama2_7b-chat-medqa-ft-freeze-rsn-lr1e-5	RSN	0.0000	0.0058	0.2231	0.4115	0.1601	0.4344
kmseong/llama2_7b-SSFT-WaRP_medqa_FT_lr3e-5	llama2_7b-chat-WaRP-medqa-lr3e-5	WSR-Tune	0.0000	0.0000	0.0712	0.1469	0.0545	0.4328
kmseong/llama2_7b-chat-CB_SSFT-asft_medqa_lambda1.0_a16_lr3e-4		AsFT	0.0000	0.0000	0.0519	0.1023	0.0386	0.3284
kmseong/llama2_7b-chat-CB_SSFT-lisa_medqa_rho1.0_a16_lr3e-4		Lisa	0.0000	0.0000	0.1212	0.1573	0.0696	0.3181
								
		ARC-C						
		llama2 7b instruct	Direct	AutoDAN	PAIR	PAP	AVG	ARC-C
kmseong/llama2_7b-chat-arc_ssft_lr5e-5_template	llama2_7b-chat-arc-ssft-lr5e-5	SSFT+DT	0.0000	0.0000	0.3154	0.5100	0.2064	0.5631
kmseong/llama2-7b-chat-lr5e-5-arc-safeinstr-lr5e-5-ratio0.1	llama2_7b-chat-arc-safeinstr-ratio0.1-lr5e-5	SafeInstr	0.0000	0.0000	0.2288	0.2200	0.1122	0.5845
kmseong/llama2-7b-chat-lr5e-5-arc-resta-gamma0.3	llama2_7b-chat-arc-resta-gamma0.3-lr5e-5	Resta	0.0000	0.0000	0.2519	0.3912	0.1608	0.5648
kmseong/llama2_7b-chat-CB_SSFT-seal_arc_topp0.8_lr5e-5		SEAL	0.0000	0.0058	0.2923	0.5354	0.2084	0.6067
kmseong/llama2-7b-chat-lr5e-5-arc-safedelta-scale0.1	llama2_7b-chat-arc-safedelta-scale0.1-lr5e-5	SafeDelta	0.0000	0.0000	0.1077	0.2227	0.0826	0.3652
kmseong/llama-2-7b-chat-hf-arc-sn-tuned-lr5e-5	llama2_7b-chat-arc-sn-tune-lr5e-5	SN	0.0000	0.6442	0.3077	0.8123	0.4411	0.5973
